S.No.,Age,Gender,Year in school,Subjects,Monthly_income,Financial_aid,Tuition,Housing,food,Junk food,Transport,Books,Entertainment,Personal,Technology,Recharge,Gym,Weekend,Health,Miscellaneous,Preferred_payment_method,Total,Average
0,19,Non-binary,Freshman,Psychology,958,270,5939,709,296,254,123,188,41,78,134,345,4000,450,127,72,Credit/Debit Card,13026,868.4
1,24,Female,Junior,Economics,1006,875,4908,557,365,254,85,252,74,92,226,345,4000,450,129,68,Credit/Debit Card,12680,845.3333333
2,24,Non-binary,Junior,Economics,734,928,3051,666,220,254,137,99,130,23,239,345,4000,450,112,133,Cash,10787,719.1333333
3,23,Female,Senior,Computer Science,617,265,4935,652,289,254,114,223,99,30,163,345,4000,450,105,55,Mobile Payment App,11979,798.6
4,20,Female,Senior,Computer Science,810,522,3887,825,372,254,168,194,48,71,88,345,4000,450,71,104,Credit/Debit Card,11399,759.9333333
5,25,Non-binary,Sophomore,Computer Science,523,790,3151,413,386,254,122,131,73,38,234,345,4000,450,108,99,Mobile Payment App,10594,706.2666667
6,23,Female,Freshman,Engineering,1354,69,4973,812,398,254,101,213,21,38,157,345,4000,450,117,48,Credit/Debit Card,11996,799.7333333
7,23,Female,Junior,Economics,631,748,3966,571,269,254,92,251,37,90,152,345,4000,450,56,62,Mobile Payment App,11343,756.2
8,22,Non-binary,Senior,Computer Science,1402,248,5638,599,354,254,82,155,123,41,162,345,4000,450,172,194,Credit/Debit Card,12817,854.4666667
9,18,Female,Junior,Computer Science,1423,74,3977,626,249,254,117,123,51,74,243,345,4000,450,34,196,Mobile Payment App,10813,720.8666667
10,23,Male,Junior,Biology,762,615,4093,660,262,254,58,183,98,21,274,345,4000,450,66,50,Credit/Debit Card,11429,761.9333333
11,25,Male,Freshman,Engineering,1068,19,5138,734,243,254,200,228,57,57,209,345,4000,450,193,146,Credit/Debit Card,12273,818.2
12,21,Male,Sophomore,Economics,719,540,4863,894,280,254,120,126,41,50,78,345,4000,450,113,114,Credit/Debit Card,12268,817.8666667
13,19,Female,Junior,Biology,1176,859,5201,626,234,254,50,274,20,77,125,345,4000,450,199,103,Mobile Payment App,12817,854.4666667
14,24,Non-binary,Freshman,Economics,1496,75,5301,657,151,254,63,92,124,64,196,345,4000,450,50,117,Cash,11939,795.9333333
15,22,Non-binary,Sophomore,Computer Science,1227,26,4175,884,328,254,167,175,111,96,73,345,4000,450,154,109,Cash,11347,756.4666667
16,23,Female,Freshman,Psychology,1419,237,5450,883,361,254,200,141,76,22,285,345,4000,450,185,76,Cash,12965,864.3333333
17,21,Female,Freshman,Computer Science,1454,851,3538,754,357,254,110,188,33,24,50,345,4000,450,74,46,Mobile Payment App,11074,738.2666667
18,19,Female,Sophomore,Psychology,1487,311,4401,883,292,254,69,51,75,60,105,345,4000,450,181,164,Credit/Debit Card,11641,776.0666667
19,20,Female,Senior,Engineering,1157,401,3131,886,196,254,131,216,57,39,264,345,4000,450,39,174,Mobile Payment App,10583,705.5333333
20,19,Male,Junior,Psychology,1180,732,4206,597,254,254,195,67,51,21,97,345,4000,450,185,46,Credit/Debit Card,11500,766.6666667
21,24,Male,Sophomore,Computer Science,516,549,4878,814,286,254,180,282,55,25,77,345,4000,450,73,184,Mobile Payment App,12452,830.1333333
22,18,Non-binary,Sophomore,Biology,1225,610,4998,473,159,254,134,294,37,86,159,345,4000,450,60,43,Cash,12102,806.8
23,24,Non-binary,Senior,Economics,582,285,4210,421,348,254,138,143,62,85,218,345,4000,450,113,60,Credit/Debit Card,11132,742.1333333
24,19,Female,Senior,Economics,1062,56,4500,731,238,254,103,76,111,95,238,345,4000,450,74,83,Mobile Payment App,11354,756.9333333
25,25,Female,Junior,Biology,1054,528,5486,789,400,254,81,211,95,74,237,345,4000,450,140,136,Mobile Payment App,13226,881.7333333
26,20,Male,Senior,Economics,667,690,3541,762,173,254,185,288,53,38,84,345,4000,450,159,137,Credit/Debit Card,11159,743.9333333
27,20,Female,Junior,Psychology,796,705,5616,664,291,254,179,260,127,21,113,345,4000,450,194,80,Credit/Debit Card,13299,886.6
28,24,Non-binary,Sophomore,Psychology,905,671,4156,444,163,254,131,141,132,31,156,345,4000,450,95,128,Credit/Debit Card,11297,753.1333333
29,23,Non-binary,Junior,Engineering,531,448,3099,742,394,254,179,95,64,62,73,345,4000,450,104,173,Mobile Payment App,10482,698.8
30,23,Non-binary,Freshman,Economics,1426,3,5943,677,296,254,110,137,146,21,155,345,4000,450,105,26,Mobile Payment App,12668,844.5333333
31,23,Male,Sophomore,Psychology,1465,302,5417,468,113,254,190,134,119,82,276,345,4000,450,165,191,Mobile Payment App,12506,833.7333333
32,24,Non-binary,Junior,Computer Science,522,555,5236,860,169,254,133,147,123,48,138,345,4000,450,89,150,Credit/Debit Card,12697,846.4666667
33,25,Female,Freshman,Economics,1338,110,5615,468,325,254,158,244,98,46,231,345,4000,450,183,80,Cash,12607,840.4666667
34,23,Male,Junior,Biology,1363,365,3222,695,185,254,166,99,116,68,77,345,4000,450,31,161,Mobile Payment App,10234,682.2666667
35,21,Male,Freshman,Biology,1328,320,3090,718,254,254,93,204,74,30,228,345,4000,450,60,179,Cash,10299,686.6
36,22,Male,Sophomore,Engineering,1350,675,3931,462,372,254,147,282,149,92,269,345,4000,450,105,190,Cash,11723,781.5333333
37,23,Non-binary,Senior,Computer Science,1309,265,5160,600,178,254,148,186,88,78,242,345,4000,450,54,172,Cash,12220,814.6666667
38,21,Female,Senior,Biology,965,251,5344,695,249,254,88,249,49,29,298,345,4000,450,96,31,Cash,12428,828.5333333
39,20,Female,Senior,Engineering,600,392,5733,791,309,254,178,67,22,29,142,345,4000,450,74,105,Mobile Payment App,12891,859.4
40,24,Female,Freshman,Engineering,605,118,5696,653,165,254,189,151,86,82,117,345,4000,450,83,156,Mobile Payment App,12545,836.3333333
41,25,Male,Sophomore,Economics,804,140,5332,517,289,254,147,153,125,43,159,345,4000,450,44,127,Cash,12125,808.3333333
42,23,Female,Sophomore,Economics,1274,449,4639,755,137,254,55,249,103,50,176,345,4000,450,67,175,Cash,11904,793.6
43,23,Male,Junior,Psychology,509,942,3958,511,391,254,192,264,57,85,108,345,4000,450,115,141,Credit/Debit Card,11813,787.5333333
44,23,Female,Senior,Economics,1285,881,3823,740,253,254,182,230,32,92,118,345,4000,450,34,39,Credit/Debit Card,11473,764.8666667
45,18,Male,Freshman,Computer Science,929,348,3854,590,204,254,196,183,129,80,163,345,4000,450,116,55,Credit/Debit Card,10967,731.1333333
46,25,Non-binary,Freshman,Psychology,1163,235,4951,549,261,254,86,185,102,21,252,345,4000,450,31,88,Cash,11810,787.3333333
47,19,Male,Senior,Psychology,1195,745,5269,920,167,254,57,88,113,60,242,345,4000,450,35,106,Mobile Payment App,12851,856.7333333
48,25,Male,Junior,Psychology,1036,260,4141,918,122,254,86,105,62,88,90,345,4000,450,169,137,Cash,11227,748.4666667
49,24,Female,Junior,Economics,588,211,4875,604,163,254,101,198,89,23,128,345,4000,450,62,42,Mobile Payment App,11545,769.6666667
50,20,Female,Junior,Engineering,1377,723,5414,786,355,254,137,187,45,90,145,345,4000,450,200,27,Cash,13158,877.2
51,21,Non-binary,Freshman,Economics,1451,479,5481,661,140,254,67,128,31,48,293,345,4000,450,37,128,Credit/Debit Card,12542,836.1333333
52,19,Male,Senior,Computer Science,669,660,3823,837,193,254,115,75,121,65,150,345,4000,450,96,58,Cash,11242,749.4666667
53,18,Male,Freshman,Psychology,1294,818,4079,806,115,254,97,71,24,31,79,345,4000,450,107,63,Mobile Payment App,11339,755.9333333
54,24,Non-binary,Senior,Engineering,941,90,3688,963,372,254,197,146,32,86,109,345,4000,450,45,198,Mobile Payment App,10975,731.6666667
55,22,Female,Sophomore,Engineering,1131,312,4244,926,339,254,142,237,145,93,121,345,4000,450,91,158,Cash,11857,790.4666667
56,24,Non-binary,Freshman,Computer Science,854,700,4824,525,223,254,145,133,47,91,294,345,4000,450,191,170,Cash,12392,826.1333333
57,20,Male,Sophomore,Economics,1158,653,3017,960,216,254,193,299,40,61,263,345,4000,450,55,141,Mobile Payment App,10947,729.8
58,25,Non-binary,Sophomore,Biology,668,50,3650,466,377,254,161,221,60,80,180,345,4000,450,142,86,Mobile Payment App,10522,701.4666667
59,20,Female,Junior,Biology,695,970,4694,626,304,254,104,200,47,71,223,345,4000,450,93,191,Mobile Payment App,12572,838.1333333
60,20,Male,Junior,Engineering,1375,722,5389,416,132,254,193,149,67,27,261,345,4000,450,46,43,Mobile Payment App,12494,832.9333333
61,23,Female,Junior,Engineering,1084,315,5205,721,230,254,76,141,86,34,187,345,4000,450,159,144,Mobile Payment App,12347,823.1333333
62,18,Female,Senior,Biology,733,838,5248,977,298,254,164,241,85,78,281,345,4000,450,121,168,Cash,13548,903.2
63,20,Non-binary,Freshman,Economics,1061,989,5194,464,370,254,58,77,135,34,124,345,4000,450,40,171,Mobile Payment App,12705,847
64,19,Female,Junior,Computer Science,1352,13,3403,477,144,254,82,190,109,84,81,345,4000,450,56,80,Mobile Payment App,9768,651.2
65,19,Male,Freshman,Biology,1092,550,5841,916,150,254,143,257,90,29,262,345,4000,450,192,177,Mobile Payment App,13656,910.4
66,24,Male,Freshman,Economics,963,367,3830,883,260,254,79,139,135,64,54,345,4000,450,81,74,Mobile Payment App,11015,734.3333333
67,21,Female,Junior,Engineering,1204,121,4261,488,283,254,111,287,115,56,230,345,4000,450,85,24,Credit/Debit Card,11110,740.6666667
68,23,Male,Senior,Engineering,1184,104,5380,940,115,254,185,171,58,45,111,345,4000,450,30,169,Mobile Payment App,12357,823.8
69,22,Male,Junior,Economics,562,728,4560,986,306,254,105,109,90,99,187,345,4000,450,195,34,Mobile Payment App,12448,829.8666667
70,19,Male,Freshman,Economics,1218,878,4643,451,234,254,169,240,105,21,238,345,4000,450,101,38,Mobile Payment App,12167,811.1333333
71,21,Non-binary,Sophomore,Computer Science,1235,805,5442,745,390,254,150,228,96,80,104,345,4000,450,35,131,Cash,13255,883.6666667
72,23,Non-binary,Sophomore,Economics,1424,367,3220,684,328,254,118,91,143,88,98,345,4000,450,159,54,Cash,10399,693.2666667
73,22,Female,Freshman,Biology,1176,804,4272,861,305,254,97,106,103,43,185,345,4000,450,104,67,Mobile Payment App,11996,799.7333333
74,25,Female,Sophomore,Engineering,1334,81,3986,873,180,254,186,236,23,61,88,345,4000,450,87,33,Credit/Debit Card,10883,725.5333333
75,19,Female,Senior,Computer Science,1442,354,5371,733,153,254,166,105,29,80,86,345,4000,450,137,109,Cash,12372,824.8
76,22,Male,Sophomore,Computer Science,983,862,5650,648,159,254,128,259,124,97,96,345,4000,450,150,134,Cash,13356,890.4
77,24,Female,Sophomore,Computer Science,914,24,4881,564,149,254,55,61,129,79,180,345,4000,450,94,33,Credit/Debit Card,11298,753.2
78,22,Non-binary,Senior,Economics,898,155,5428,868,175,254,129,148,114,74,196,345,4000,450,104,77,Cash,12517,834.4666667
79,23,Non-binary,Junior,Economics,1164,357,5212,631,331,254,125,199,115,48,130,345,4000,450,107,196,Cash,12500,833.3333333
80,18,Female,Freshman,Biology,1484,594,4636,518,299,254,74,55,104,87,122,345,4000,450,171,193,Mobile Payment App,11902,793.4666667
81,19,Female,Junior,Biology,1127,850,5104,623,385,254,94,193,29,57,259,345,4000,450,113,31,Mobile Payment App,12787,852.4666667
82,24,Non-binary,Senior,Biology,1105,671,5501,841,235,254,164,109,144,100,252,345,4000,450,198,36,Cash,13300,886.6666667
83,19,Male,Freshman,Computer Science,1351,156,4529,678,186,254,178,75,34,95,97,345,4000,450,140,75,Mobile Payment App,11292,752.8
84,22,Female,Freshman,Biology,930,768,3050,490,349,254,54,174,80,51,278,345,4000,450,143,41,Mobile Payment App,10527,701.8
85,25,Non-binary,Senior,Computer Science,1346,932,5683,718,376,254,152,156,94,81,220,345,4000,450,145,83,Credit/Debit Card,13689,912.6
86,25,Non-binary,Sophomore,Computer Science,1240,44,3901,618,315,254,177,180,41,63,247,345,4000,450,112,138,Credit/Debit Card,10885,725.6666667
87,25,Female,Junior,Computer Science,727,143,4051,840,269,254,119,121,132,40,173,345,4000,450,198,125,Credit/Debit Card,11260,750.6666667
88,20,Female,Junior,Economics,622,959,4707,431,234,254,184,264,54,84,295,345,4000,450,162,177,Mobile Payment App,12600,840
89,23,Male,Sophomore,Economics,800,933,5304,421,144,254,97,51,103,66,247,345,4000,450,183,92,Credit/Debit Card,12690,846
90,18,Non-binary,Junior,Psychology,1199,516,5959,778,260,254,82,238,74,82,149,345,4000,450,126,62,Credit/Debit Card,13375,891.6666667
91,19,Male,Senior,Economics,1006,392,3526,411,357,254,109,268,107,94,65,345,4000,450,138,145,Cash,10661,710.7333333
92,23,Non-binary,Sophomore,Economics,1295,903,4423,791,397,254,144,64,59,79,187,345,4000,450,189,113,Mobile Payment App,12398,826.5333333
93,18,Male,Sophomore,Economics,1222,625,4236,862,127,254,180,63,91,90,191,345,4000,450,87,122,Mobile Payment App,11723,781.5333333
94,18,Female,Senior,Computer Science,1384,800,4822,809,237,254,174,85,21,72,130,345,4000,450,185,104,Credit/Debit Card,12488,832.5333333
95,18,Female,Junior,Engineering,1035,513,3367,760,182,254,57,95,119,21,166,345,4000,450,149,119,Credit/Debit Card,10597,706.4666667
96,20,Male,Freshman,Economics,1395,723,5126,551,258,254,130,81,102,84,234,345,4000,450,172,78,Credit/Debit Card,12588,839.2
97,18,Non-binary,Sophomore,Biology,767,457,5096,780,331,254,200,115,89,27,265,345,4000,450,175,158,Credit/Debit Card,12742,849.4666667
98,24,Female,Senior,Biology,933,452,4706,787,166,254,136,106,112,63,270,345,4000,450,86,29,Cash,11962,797.4666667
99,23,Male,Junior,Psychology,803,796,3471,931,293,254,54,146,142,58,84,345,4000,450,104,41,Mobile Payment App,11169,744.6
100,22,Male,Sophomore,Psychology,1333,231,3300,971,295,254,51,219,91,94,259,345,4000,450,161,50,Cash,10771,718.0666667
101,23,Female,Senior,Psychology,1115,437,5317,818,341,254,136,116,115,22,56,345,4000,450,38,106,Mobile Payment App,12551,836.7333333
102,20,Female,Sophomore,Psychology,920,149,3366,636,295,254,143,77,120,96,137,345,4000,450,162,178,Cash,10408,693.8666667
103,25,Male,Junior,Psychology,780,95,5931,759,216,254,99,251,20,38,192,345,4000,450,105,97,Cash,12852,856.8
104,21,Female,Junior,Psychology,882,912,5570,555,305,254,103,81,112,28,112,345,4000,450,162,197,Mobile Payment App,13186,879.0666667
105,21,Female,Senior,Computer Science,959,258,3200,464,360,254,153,220,26,88,144,345,4000,450,161,134,Cash,10257,683.8
106,25,Female,Senior,Psychology,748,494,4789,447,353,254,164,201,60,43,99,345,4000,450,93,172,Mobile Payment App,11964,797.6
107,21,Male,Junior,Biology,810,73,4884,742,112,254,173,276,136,63,294,345,4000,450,161,136,Mobile Payment App,12099,806.6
108,20,Male,Sophomore,Computer Science,965,322,4992,433,175,254,56,71,89,74,66,345,4000,450,59,130,Mobile Payment App,11516,767.7333333
109,24,Male,Senior,Psychology,784,513,4906,863,116,254,110,140,116,56,264,345,4000,450,179,160,Credit/Debit Card,12472,831.4666667
110,22,Male,Sophomore,Economics,970,553,5894,680,344,254,156,114,120,79,53,345,4000,450,40,156,Mobile Payment App,13238,882.5333333
111,23,Non-binary,Senior,Economics,1349,873,5866,661,205,254,129,88,72,28,192,345,4000,450,72,101,Credit/Debit Card,13336,889.0666667
112,19,Female,Senior,Psychology,760,61,5429,831,268,254,84,63,26,92,278,345,4000,450,185,60,Credit/Debit Card,12426,828.4
113,21,Female,Freshman,Computer Science,702,273,4977,906,385,254,106,277,148,41,205,345,4000,450,149,116,Cash,12632,842.1333333
114,21,Male,Junior,Engineering,720,675,5309,661,284,254,95,153,93,21,108,345,4000,450,81,64,Mobile Payment App,12593,839.5333333
115,22,Male,Freshman,Biology,1286,789,3618,902,343,254,194,182,74,62,171,345,4000,450,126,112,Mobile Payment App,11622,774.8
116,22,Female,Sophomore,Engineering,1135,261,4753,629,335,254,168,97,113,60,223,345,4000,450,44,62,Cash,11794,786.2666667
117,18,Non-binary,Senior,Engineering,1030,240,3108,859,386,254,147,208,27,60,265,345,4000,450,36,23,Credit/Debit Card,10408,693.8666667
118,21,Female,Senior,Engineering,1265,722,4579,760,122,254,122,63,34,48,250,345,4000,450,153,184,Credit/Debit Card,12086,805.7333333
119,24,Female,Freshman,Psychology,1175,803,5634,444,290,254,170,63,25,37,275,345,4000,450,111,101,Mobile Payment App,13002,866.8
120,23,Female,Freshman,Psychology,1083,10,5275,640,236,254,153,257,62,87,188,345,4000,450,55,59,Mobile Payment App,12071,804.7333333
121,24,Non-binary,Freshman,Biology,1487,940,3167,765,202,254,146,183,145,23,233,345,4000,450,120,44,Mobile Payment App,11017,734.4666667
122,25,Non-binary,Junior,Computer Science,1327,196,5067,613,278,254,179,187,149,38,227,345,4000,450,162,104,Cash,12249,816.6
123,22,Non-binary,Senior,Economics,1095,165,4532,801,253,254,167,243,73,33,110,345,4000,450,66,98,Credit/Debit Card,11590,772.6666667
